StudyHours,Attendance,InternalMarks,PreviousScore,TotalMarks,Result
4.06,56.15,24.6,64.67,116.06,1
9.53,53.3,13.69,52.15,125.11,1
7.45,42.33,16.93,87.51,130.78,1
6.19,72.51,23.27,35.33,118.71,1
1.98,63.36,19.64,61.15,97.26,1
1.98,90.6,24.77,69.01,119.78,1
1.05,32.25,29.22,77.79,101.93,1
8.73,75.07,12.33,48.49,125.15,1
6.21,83.41,24.19,68.08,140.95,1
7.23,83.16,14.61,41.22,119.17,1
0.7,92.03,18.29,50.48,93.69,1
9.71,81.03,10.66,82.69,148.01,1
8.41,94.95,12.72,86.49,150.76,1
2.52,53.29,16.4,70.32,96.2,1
2.23,65.22,16.84,46.2,87.83,1
2.24,30.99,27.99,77.4,106.52,1
3.39,30.49,24.84,21.81,80.7,1
5.49,46.81,29.44,27.19,109.42,1
4.6,37.06,21.98,66.3,108.54,1
3.27,48.21,14.83,40.39,81.34,1
6.31,42.39,16.55,86.6,122.94,1
1.83,32.0,16.4,50.52,73.64,1
3.28,93.65,16.53,50.06,106.96,1
3.98,30.58,23.46,67.47,105.04,1
4.83,81.53,20.62,73.73,129.39,1
7.96,40.65,17.71,53.29,117.23,1
2.4,93.86,12.98,34.98,88.9,1
5.39,92.5,10.44,74.13,122.06,1
6.13,75.77,14.38,42.42,109.87,1
0.94,77.06,12.15,32.26,70.82,1
6.27,30.37,25.71,64.21,120.44,1
2.12,98.94,12.25,26.33,83.84,1
1.12,91.45,24.48,87.99,124.02,1
9.51,92.66,17.71,64.27,152.82,1
9.67,76.15,11.47,89.01,150.19,1
8.18,54.14,26.25,43.72,131.97,1
3.39,92.56,21.59,87.98,133.74,1
1.43,50.41,14.72,30.19,65.92,1
7.0,69.39,27.89,22.85,123.02,1
4.68,36.98,10.91,22.31,70.39,1
1.66,94.54,14.04,52.54,95.11,1
5.2,39.85,25.04,25.81,97.6,1
0.83,45.74,24.19,55.85,87.49,1
9.14,69.07,15.79,42.93,127.62,1
2.96,83.49,11.24,43.49,89.76,1
6.79,73.35,27.16,64.49,143.06,1
3.46,46.25,16.27,31.42,79.38,1
5.44,30.07,13.91,73.66,102.36,1
5.69,83.0,20.32,60.74,128.19,1
2.26,98.96,28.2,84.05,137.47,1
9.71,86.69,10.87,45.54,132.01,1
7.86,62.21,25.32,88.79,154.42,1
9.43,93.26,21.45,60.31,156.21,1
9.0,58.69,18.51,88.14,149.31,1
6.18,66.75,24.88,21.89,112.04,1
9.26,63.4,29.32,70.96,160.38,1
1.34,61.33,14.58,77.16,93.02,1
2.36,84.26,12.87,23.72,79.03,1
0.93,66.87,28.26,60.53,104.98,1
3.59,52.17,23.38,76.14,115.55,1
4.19,48.07,18.76,59.27,102.14,1
3.08,32.64,21.47,24.47,75.98,1
8.37,70.82,24.91,68.54,150.18,1
3.89,46.1,25.46,24.24,92.09,1
3.17,40.37,28.4,77.22,116.38,1
5.66,75.77,18.54,23.01,103.58,1
1.84,77.68,15.87,29.62,80.73,1
8.12,82.65,22.79,39.26,135.6,1
1.21,65.25,18.31,64.34,93.0,1
9.88,92.58,21.89,88.35,173.32,1
